Fecha,Producto,Categoría,Precio_Unitario,Costo_Unitario,Unidades_Vendidas,Ciudad
2025-06-28,Kit de mangueras,Accesorios,25,10,37,Tandil
2025-04-15,Tanque de reserva,Equipos,200,120,47,Córdoba
2025-03-05,Purificador portátil,Equipos,150,100,18,Plaza Huincul
2025-05-15,Filtro de agua,Equipos,120,80,35,Mendoza
2025-03-04,Kit de mangueras,Accesorios,25,10,15,Mendoza
2025-04-21,Purificador portátil,Equipos,150,100,25,Tandil
2025-05-21,Motor eléctrico,Equipos,300,200,37,Córdoba
2025-01-09,Válvula de presión,Repuestos,75,40,33,Córdoba
2025-01-26,Kit de mangueras,Accesorios,25,10,37,Tandil
2025-03-22,Kit de mangueras,Accesorios,25,10,38,Córdoba
2025-03-11,Purificador portátil,Equipos,150,100,24,Tandil
2025-04-22,Purificador portátil,Equipos,150,100,38,Tandil
2025-03-09,Purificador portátil,Equipos,150,100,2,Salta
2025-06-17,Filtro de agua,Equipos,120,80,46,Mendoza
2025-06-23,Grifo cromado,Accesorios,35,15,9,Mendoza
2025-06-28,Motor eléctrico,Equipos,300,200,38,Tandil
2025-06-24,Tanque de reserva,Equipos,200,120,9,Salta
2025-03-22,Purificador portátil,Equipos,150,100,22,Córdoba
2025-04-29,Grifo cromado,Accesorios,35,15,26,Salta
2025-02-06,Kit de mangueras,Accesorios,25,10,41,Salta
2025-01-05,Cartucho filtrante,Repuestos,60,30,30,Tandil
2025-05-29,Motor eléctrico,Equipos,300,200,46,Córdoba
2025-05-05,Tanque de reserva,Equipos,200,120,36,Tandil
2025-02-28,Purificador portátil,Equipos,150,100,28,Plaza Huincul
2025-03-02,Purificador portátil,Equipos,150,100,47,Córdoba
2025-02-18,Repuesto bomba,Repuestos,40,20,37,Salta
2025-06-09,Kit de mangueras,Accesorios,25,10,20,Córdoba
2025-02-02,Tanque de reserva,Equipos,200,120,13,Plaza Huincul
2025-01-14,Manguera reforzada,Accesorios,50,25,50,Tandil
2025-06-17,Válvula de presión,Repuestos,75,40,35,Salta
2025-04-29,Kit de mangueras,Accesorios,25,10,26,Tandil
2025-02-21,Manguera reforzada,Accesorios,50,25,20,Plaza Huincul
2025-01-20,Manguera reforzada,Accesorios,50,25,26,Plaza Huincul
2025-03-09,Repuesto bomba,Repuestos,40,20,1,Plaza Huincul
2025-01-01,Kit de mangueras,Accesorios,25,10,36,Plaza Huincul
2025-05-11,Válvula de presión,Repuestos,75,40,7,Tandil
2025-05-03,Purificador portátil,Equipos,150,100,50,Tandil
2025-06-10,Purificador portátil,Equipos,150,100,20,Salta
2025-05-04,Filtro de agua,Equipos,120,80,21,Salta
2025-02-27,Filtro de agua,Equipos,120,80,27,Mendoza
2025-03-19,Válvula de presión,Repuestos,75,40,11,Plaza Huincul
2025-03-29,Motor eléctrico,Equipos,300,200,27,Tandil
2025-04-29,Motor eléctrico,Equipos,300,200,42,Córdoba
2025-06-09,Válvula de presión,Repuestos,75,40,42,Córdoba
2025-06-22,Kit de mangueras,Accesorios,25,10,41,Salta
2025-04-11,Cartucho filtrante,Repuestos,60,30,47,Plaza Huincul
2025-06-28,Filtro de agua,Equipos,120,80,31,Salta
2025-03-19,Válvula de presión,Repuestos,75,40,13,Plaza Huincul
2025-04-11,Manguera reforzada,Accesorios,50,25,2,Mendoza
2025-04-08,Motor eléctrico,Equipos,300,200,10,Tandil
2025-06-18,Repuesto bomba,Repuestos,40,20,8,Plaza Huincul
2025-05-18,Motor eléctrico,Equipos,300,200,7,Salta
2025-03-07,Manguera reforzada,Accesorios,50,25,22,Mendoza
2025-01-11,Motor eléctrico,Equipos,300,200,50,Mendoza
2025-01-06,Manguera reforzada,Accesorios,50,25,41,Tandil
2025-04-03,Motor eléctrico,Equipos,300,200,28,Mendoza
2025-02-21,Repuesto bomba,Repuestos,40,20,35,Mendoza
2025-06-25,Válvula de presión,Repuestos,75,40,5,Córdoba
2025-02-11,Purificador portátil,Equipos,150,100,14,Tandil
2025-02-16,Cartucho filtrante,Repuestos,60,30,7,Mendoza
2025-05-08,Kit de mangueras,Accesorios,25,10,43,Tandil
2025-04-10,Válvula de presión,Repuestos,75,40,37,Salta
2025-06-05,Manguera reforzada,Accesorios,50,25,20,Plaza Huincul
2025-02-04,Manguera reforzada,Accesorios,50,25,47,Córdoba
2025-01-19,Repuesto bomba,Repuestos,40,20,29,Mendoza
2025-02-17,Repuesto bomba,Repuestos,40,20,24,Córdoba
2025-03-20,Grifo cromado,Accesorios,35,15,39,Plaza Huincul
2025-01-02,Repuesto bomba,Repuestos,40,20,17,Salta
2025-05-15,Cartucho filtrante,Repuestos,60,30,3,Mendoza
2025-05-13,Cartucho filtrante,Repuestos,60,30,46,Mendoza
2025-03-06,Kit de mangueras,Accesorios,25,10,38,Plaza Huincul
2025-06-25,Motor eléctrico,Equipos,300,200,25,Mendoza
2025-03-14,Manguera reforzada,Accesorios,50,25,31,Plaza Huincul
2025-05-04,Tanque de reserva,Equipos,200,120,43,Mendoza
2025-06-19,Motor eléctrico,Equipos,300,200,26,Salta
2025-06-29,Cartucho filtrante,Repuestos,60,30,7,Córdoba
2025-03-22,Válvula de presión,Repuestos,75,40,42,Córdoba
2025-05-28,Purificador portátil,Equipos,150,100,25,Tandil
2025-01-22,Válvula de presión,Repuestos,75,40,39,Tandil
2025-05-07,Tanque de reserva,Equipos,200,120,16,Córdoba
2025-03-14,Kit de mangueras,Accesorios,25,10,24,Salta
2025-06-27,Manguera reforzada,Accesorios,50,25,4,Tandil
2025-04-05,Manguera reforzada,Accesorios,50,25,12,Mendoza
2025-02-10,Filtro de agua,Equipos,120,80,48,Salta
2025-02-11,Cartucho filtrante,Repuestos,60,30,24,Salta
2025-03-21,Cartucho filtrante,Repuestos,60,30,1,Salta
2025-04-06,Grifo cromado,Accesorios,35,15,19,Plaza Huincul
2025-03-12,Repuesto bomba,Repuestos,40,20,13,Tandil
2025-04-08,Cartucho filtrante,Repuestos,60,30,41,Tandil
2025-06-13,Motor eléctrico,Equipos,300,200,16,Mendoza
2025-03-13,Filtro de agua,Equipos,120,80,3,Salta
2025-04-08,Grifo cromado,Accesorios,35,15,11,Salta
2025-01-12,Válvula de presión,Repuestos,75,40,12,Mendoza
2025-04-04,Grifo cromado,Accesorios,35,15,26,Tandil
2025-01-28,Filtro de agua,Equipos,120,80,31,Tandil
2025-02-04,Kit de mangueras,Accesorios,25,10,36,Salta
2025-02-23,Tanque de reserva,Equipos,200,120,39,Tandil
2025-01-15,Filtro de agua,Equipos,120,80,28,Mendoza
2025-03-11,Repuesto bomba,Repuestos,40,20,17,Plaza Huincul
2025-03-27,Cartucho filtrante,Repuestos,60,30,28,Córdoba
2025-03-22,Kit de mangueras,Accesorios,25,10,16,Tandil
2025-03-19,Tanque de reserva,Equipos,200,120,9,Salta
2025-05-14,Kit de mangueras,Accesorios,25,10,47,Mendoza
2025-06-07,Motor eléctrico,Equipos,300,200,3,Plaza Huincul
2025-05-06,Kit de mangueras,Accesorios,25,10,8,Salta
2025-03-15,Válvula de presión,Repuestos,75,40,14,Salta
2025-06-23,Filtro de agua,Equipos,120,80,27,Plaza Huincul
2025-06-19,Válvula de presión,Repuestos,75,40,16,Salta
2025-02-26,Repuesto bomba,Repuestos,40,20,12,Córdoba
2025-01-20,Filtro de agua,Equipos,120,80,47,Córdoba
2025-01-03,Filtro de agua,Equipos,120,80,5,Salta
2025-04-03,Válvula de presión,Repuestos,75,40,46,Tandil
2025-05-25,Cartucho filtrante,Repuestos,60,30,48,Plaza Huincul
2025-01-19,Válvula de presión,Repuestos,75,40,4,Tandil
2025-04-04,Motor eléctrico,Equipos,300,200,10,Plaza Huincul
2025-03-03,Kit de mangueras,Accesorios,25,10,49,Córdoba
2025-02-02,Filtro de agua,Equipos,120,80,37,Salta
2025-06-07,Manguera reforzada,Accesorios,50,25,36,Salta
2025-01-17,Grifo cromado,Accesorios,35,15,40,Plaza Huincul
2025-05-08,Kit de mangueras,Accesorios,25,10,4,Córdoba
2025-02-21,Repuesto bomba,Repuestos,40,20,10,Plaza Huincul
2025-02-19,Motor eléctrico,Equipos,300,200,40,Tandil
2025-01-26,Motor eléctrico,Equipos,300,200,33,Tandil
2025-06-08,Filtro de agua,Equipos,120,80,2,Plaza Huincul
2025-03-18,Motor eléctrico,Equipos,300,200,39,Salta
2025-04-19,Válvula de presión,Repuestos,75,40,7,Salta
2025-03-13,Kit de mangueras,Accesorios,25,10,17,Córdoba
2025-05-20,Cartucho filtrante,Repuestos,60,30,9,Mendoza
2025-02-10,Válvula de presión,Repuestos,75,40,44,Plaza Huincul
2025-06-21,Kit de mangueras,Accesorios,25,10,11,Mendoza
2025-03-21,Válvula de presión,Repuestos,75,40,11,Salta
2025-02-19,Grifo cromado,Accesorios,35,15,37,Tandil
2025-02-25,Grifo cromado,Accesorios,35,15,47,Tandil
2025-06-14,Grifo cromado,Accesorios,35,15,26,Mendoza
2025-05-02,Válvula de presión,Repuestos,75,40,24,Córdoba
2025-04-14,Filtro de agua,Equipos,120,80,45,Córdoba
2025-01-15,Grifo cromado,Accesorios,35,15,16,Córdoba
2025-01-16,Repuesto bomba,Repuestos,40,20,29,Mendoza
2025-05-16,Repuesto bomba,Repuestos,40,20,28,Córdoba
2025-01-16,Motor eléctrico,Equipos,300,200,28,Tandil
2025-02-18,Tanque de reserva,Equipos,200,120,16,Córdoba
2025-02-28,Grifo cromado,Accesorios,35,15,35,Tandil
2025-05-07,Cartucho filtrante,Repuestos,60,30,23,Salta
2025-04-24,Válvula de presión,Repuestos,75,40,7,Salta
2025-02-24,Cartucho filtrante,Repuestos,60,30,24,Córdoba
2025-02-06,Repuesto bomba,Repuestos,40,20,7,Salta
2025-05-25,Válvula de presión,Repuestos,75,40,36,Tandil
2025-04-01,Grifo cromado,Accesorios,35,15,9,Tandil
2025-05-21,Motor eléctrico,Equipos,300,200,18,Salta
2025-06-18,Purificador portátil,Equipos,150,100,13,Mendoza
2025-05-11,Kit de mangueras,Accesorios,25,10,34,Tandil
2025-01-27,Kit de mangueras,Accesorios,25,10,36,Córdoba
2025-02-23,Tanque de reserva,Equipos,200,120,21,Salta
2025-01-09,Repuesto bomba,Repuestos,40,20,50,Tandil
2025-05-13,Purificador portátil,Equipos,150,100,10,Mendoza
2025-05-31,Válvula de presión,Repuestos,75,40,4,Córdoba
2025-01-30,Kit de mangueras,Accesorios,25,10,37,Córdoba
2025-03-13,Filtro de agua,Equipos,120,80,6,Córdoba
2025-05-24,Grifo cromado,Accesorios,35,15,26,Plaza Huincul
2025-05-14,Purificador portátil,Equipos,150,100,2,Salta
2025-02-22,Filtro de agua,Equipos,120,80,14,Plaza Huincul
2025-01-02,Motor eléctrico,Equipos,300,200,37,Salta
